*plausible-----------------a| apparently reasonable and valid  
*play----------------------v| act or have an effect in a specified way or with a specific effect or outcome; "This factor played only a minor part in his decision"; "This development played into her hands"; "I played no role in your dismissal"  
*play----------------------v| be at play; be engaged in playful activity; amuse oneself in a way characteristic of children; "The kids were playing outside all day"; "I used to play with trucks as a little girl"  
*play----------------------v| be performed; "What's playing in the local movie theater?"; "`Cats' has been playing on Broadway for many years"  
*play----------------------v| be received or accepted or interpreted in a specific way; "This speech didn't play well with the American public"; "His remarks played to the suspicions of the committee"  
*play----------------------v| behave in a certain way; "play safe"; "play it safe"; "play fair"  
*play----------------------v| bet or wager (money); "He played $20 on the new horse"; "She plays the races"  
*play----------------------v| cause to emit recorded sounds; "They ran the tapes over and over again"; "Can you play my favorite record?"  
*play----------------------v| cause to move or operate freely within a bounded space; "The engine has a wheel that is playing in a rack"  
*play----------------------v| discharge or direct or be discharged or directed as if in a continuous stream; "play water from a hose"; "The fountains played all day"  
*play----------------------v| emit recorded sound; "The tape was playing for hours"; "the stereo was playing Beethoven when I entered"  
*play----------------------v| employ in a game or in a specific position; "They played him on first base"  
*play----------------------v| engage in an activity as if it were a game rather than take it seriously; "They played games on their opponents"; "play the stockmarket"; "play with her feelings"; "toy with an idea"  
*play----------------------v| engage in recreational activities rather than work; occupy oneself in a diversion; "On weekends I play"; "The students all recreate alike"  
*play----------------------v| exhaust by allowing to pull on the line; "play a hooked fish"  
*play----------------------v| make bets; "Play the reaces"; "play the casinos in Trouville"  
*play----------------------v| move or seem to move quickly, lightly, or irregularly; "The spotlights played on the politicians"  
*play----------------------v| participate in games or sport; "We played hockey all afternoon"; "play cards"; "Pele played for the Brazilian teams in many important matches"  
*play----------------------v| perform music on (a musical instrument); "He plays the flute"; "Can you play on this old recorder?"  
*play----------------------v| perform on a certain location; "The prodigy played Carnegie Hall at the age of 16"; "She has been playing on Broadway for years"  
*play----------------------v| play on an instrument; "The band played all night long"  
*play----------------------v| pretend to be somebody in the framework of a game or playful activity; "Let's play like I am mommy"; "Play cowboy and Indians"  
*play----------------------v| put (a card or piece) into play during a game, or act strategically as if in a card game; "He is playing his cards close to his chest"; "The Democrats still have some cards to play before they will concede the electoral victory"  
*play----------------------v| replay (as a melody); "Play it again, Sam"; "She played the third movement very beautifully"  
*play----------------------v| shoot or hit in a particular manner; "She played a good backhand last night"  
*play----------------------v| use or move; "I had to play my queen"  
*play----------------------v| use to one's advantage; "She plays on her clients' emotions"  
