Tue |Thu |      0|30-04-0520| 1500| 215 |   1505|Yes |LQ   4|   N/A   |-- Exact 1500 Years Ago -- 
Sun |Thu |      0|30-04-1020| 1000| 141 |   1004|Yes |LQ   8|   N/A   |-- Exact 1000 Years Ago -- 
Sat |Thu |      0|30-04-1250|  770| 112 |    773|No  |O *  0|   N/A   |King Louis IX of France was ransomed for one million dollars.
Fri |Thu |      0|30-04-1520|  500|  70 |    502|Yes |.   12|   N/A   |-- Exact 500 Years Ago -- 
Sat |Thu |      0|30-04-1527|  493|  72 |    496|No  |O *  0|   N/A   |Henry VIII and King Francis of France signed the treaty of Westminster.
Tue |Thu |      0|30-04-1563|  457|  66 |    462|No  |LQ   7|   N/A   |All Jews were expelled from France by order of Charles VI.
Tue |Thu |      0|30-04-1720|  300|  44 |    305|Yes |LQ  22|   N/A   |-- Exact 300 Years Ago -- 
Mon |Thu |      0|30-04-1725|  295|  44 |    305|No  |O   16|   N/A   |Spain withdrew from Quadruple Alliance.
Wed |Thu |      0|30-04-1777|  243|  35 |    249|No  |LQ  21|   N/A   |B Day:-Carl Friedrich Gauss, one of the greatest mathematician of all time.
Thu |Thu |      0|30-04-1789|  231|  34*|    238|No  |.    4|   N/A   |George Washington took office as first elected U.S. president.
Sat |Thu |      0|30-04-1803|  217|  32 |    220|No  |FQ   8|   N/A   |The U.S. purchased the Louisiana Territory from France for $15 million.
Thu |Thu |      0|30-04-1812|  208|  30*|    215|Yes |O   18|   N/A   |Louisiana admitted as the 18th U.S. state.
Sun |Thu |      0|30-04-1820|  200|  29 |    204|Yes |O   17|   N/A   |-- Exact 200 Years Ago -- 
Mon |Thu |      0|30-04-1849|  171|  26 |    181|No  |FQ   7|   N/A   |The republican patriot and guerrilla leader Giuseppe Garabaldi repulsed a French attack on Rome.
Sat |Thu |      0|30-04-1864|  156|  23 |    159|Yes |LQ  23|   N/A   |Work began on the Dams along the Red River. The work would allow Union General Nathaniel Banks' troops to sail over the rapids above Alexandria, Louisiana.
Tue |Thu |      0|30-04-1889|  131|  20 |    136|No  |. *  0|   N/A   |George Washington's inauguration became the first U.S. national holiday.
Sun |Thu |      0|30-04-1893|  127|  19 |    131|No  |FQ  13|   N/A   |B DAY:-J. von Ribbentrop - Nazi
Mon |Thu |      0|30-04-1900|  120|  18 |    130|No  |.    0|2018 2075|Casey Jones was killed while trying to save the runaway train "Cannonball Express."
