2018-04-27 12-23-55 | "--__PRE ANALYZE__ --JOB NAME __ "EDDIE ELEMENT 1TB - C""
2018-04-27 12-24-34 | "--_POST ANALYZE_ --JOB NAME __ "EDDIE ELEMENT 1TB - C" --RESULT __ "Error analyzing C:: stopped by Stop By User" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-\2018-0427-122355-5-ASUS-P2520LA-EDDIE ELEMENT 1TB - C.log"  --LEFT __ "C:" --RIGHT __ "\\7-ASUS-GL522VW\7_ASUS_GL522VW_01_C_DRIVE\SCRIPTER" --LEFT FOLDER RESOLVED __ "C:" --RIGHT FOLDER RESOLVED __ "//7-ASUS-GL522VW/7_ASUS_GL522VW_01_C_DRIVE/SCRIPTER" --CHANGED __ 0"
2018-04-27 12-25-46 | "--__PRE ANALYZE__ --JOB NAME __ "C SCRIPTOR 7G 5P""
2018-04-27 12-25-47 | "--_POST ANALYZE_ --JOB NAME __ "C SCRIPTOR 7G 5P" --RESULT __ "Error analyzing \\7-ASUS-GL522VW\7_ASUS_GL522VW_01_C_DRIVE\SCRIPTER: Cannot download state file: //7-ASUS-GL522VW/7_ASUS_GL522VW_01_C_DRIVE/SCRIPTER/_gsdata_/_file_state_v4._gs: Cannot open local file '//7-ASUS-GL522VW/7_ASUS_GL522VW_01_C_DRIVE/SCRIPTER/_gsdata_/_file_state_v4._gs' for read: Access is denied.  (error 5)" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-SCRIPTER\2018-0427-122546-5-ASUS-P2520LA-C SCRIPTOR 7G 5P.log"  --LEFT __ "C:\SCRIPTER" --RIGHT __ "\\7-ASUS-GL522VW\7_ASUS_GL522VW_01_C_DRIVE\SCRIPTER" --LEFT FOLDER RESOLVED __ "C:/SCRIPTER" --RIGHT FOLDER RESOLVED __ "//7-ASUS-GL522VW/7_ASUS_GL522VW_01_C_DRIVE/SCRIPTER" --CHANGED __ 0"
2018-04-27 12-26-51 | "--__PRE ANALYZE__ --JOB NAME __ "C SCRIPTOR 7G 5P""
2018-04-27 12-26-53 | "--_POST ANALYZE_ --JOB NAME __ "C SCRIPTOR 7G 5P" --RESULT __ "" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-SCRIPTER\2018-0427-122651-5-ASUS-P2520LA-C SCRIPTOR 7G 5P.log"  --LEFT __ "C:\SCRIPTER" --RIGHT __ "gstps://5-asus-p2520l.matt-lan-2.goodsync/file:///C:/SCRIPTER" --LEFT FOLDER RESOLVED __ "C:/SCRIPTER" --RIGHT FOLDER RESOLVED __ "gstps://5-asus-p2520l.matt-lan-2.goodsync/file:///C:/SCRIPTER" --CHANGED __ 0"
2018-04-27 12-27-15 | "--__PRE ANALYZE__ --JOB NAME __ "C SCRIPTOR 7G 5P""
2018-04-27 12-27-18 | "--_POST ANALYZE_ --JOB NAME __ "C SCRIPTOR 7G 5P" --RESULT __ "" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-SCRIPTER\2018-0427-122715-5-ASUS-P2520LA-C SCRIPTOR 7G 5P.log"  --LEFT __ "C:\SCRIPTER" --RIGHT __ "gstps://5-asus-p2520l.matt-lan-2.goodsync/file:///C:/SCRIPTER" --LEFT FOLDER RESOLVED __ "C:/SCRIPTER" --RIGHT FOLDER RESOLVED __ "gstps://5-asus-p2520l.matt-lan-2.goodsync/file:///C:/SCRIPTER" --CHANGED __ 0"
2018-04-27 12-27-51 | "--__PRE ANALYZE__ --JOB NAME __ "C SCRIPTOR 7G 5P""
2018-04-27 12-27-51 | "--_POST ANALYZE_ --JOB NAME __ "C SCRIPTOR 7G 5P" --RESULT __ "Error analyzing \\7-ASUS-GL522VW\7_ASUS_GL522VW_01_C_DRIVE\SCRIPTER: Cannot download state file: //7-ASUS-GL522VW/7_ASUS_GL522VW_01_C_DRIVE/SCRIPTER/_gsdata_/_file_state_v4._gs: Cannot open local file '//7-ASUS-GL522VW/7_ASUS_GL522VW_01_C_DRIVE/SCRIPTER/_gsdata_/_file_state_v4._gs' for read: Access is denied.  (error 5)" --LOGFILE __ "C:\Users\MATT 01\AppData\Roaming\GoodSync\_mirrors_\file-C-SCRIPTER\2018-0427-122750-5-ASUS-P2520LA-C SCRIPTOR 7G 5P.log"  --LEFT __ "C:\SCRIPTER" --RIGHT __ "\\7-ASUS-GL522VW\7_ASUS_GL522VW_01_C_DRIVE\SCRIPTER" --LEFT FOLDER RESOLVED __ "C:/SCRIPTER" --RIGHT FOLDER RESOLVED __ "//7-ASUS-GL522VW/7_ASUS_GL522VW_01_C_DRIVE/SCRIPTER" --CHANGED __ 0"
2018-04-27 12-28-38 | "--__PRE ANALYZE__ --JOB NAME __ "C SCRIPTOR 7G 5P""
