2016-07-24 22:55:44 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:04:16 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:07:57 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:09:19 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:10:30 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:11:45 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:12:09 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:12:45 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:13:49 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:14:28 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:15:12 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:15:45 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:17:34 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:19:31 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:20:43 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:21:46 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:22:24 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:22:35 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:22:46 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:22:56 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:23:09 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:23:28 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:23:41 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:24:36 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:25:11 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:27:27 -- D:\#V\0 00 VIDEO2\00 Vid Films 01\VOBS\# The Mother\PROJECT_TIMER.TXT
2016-07-24 23:44:50 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:46:49 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:47:33 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:48:41 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:49:44 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:51:22 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:52:41 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:53:39 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:54:14 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:55:51 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:56:04 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:56:22 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:58:03 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:59:16 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:59:33 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-24 23:59:51 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:00:08 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:00:21 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:00:52 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:01:12 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:01:53 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:03:34 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:04:31 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:04:55 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:06:38 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:09:39 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:10:14 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:11:07 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:12:14 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:12:45 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:13:17 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:13:52 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:42:23 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:45:08 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-07-25 00:46:44 -- D:\VB6\VB-NT\00_Send_To\Send To Multi Menu\PROJECT_TIMER.TXT
2016-08-08 10:39:42 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 10:40:36 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 10:42:11 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:01:04 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:01:07 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:01:09 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:01:36 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:01:42 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:01:46 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:02:35 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:48 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:50 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:50 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:52 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:52 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:53 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:53 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:54 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:54 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:55 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:56 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:56 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:56 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:57 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:57 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:58 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:58 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:59 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:59 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:13:59 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:14:00 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:14:00 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:14:01 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:14:31 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:17:39 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:22:12 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:24:43 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:25:23 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:26:02 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:26:18 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:26:36 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:27:06 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:27:24 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:28:07 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:28:59 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:29:17 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:29:51 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:29:53 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:29:54 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:29:54 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:29:56 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:29:57 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:29:58 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:29:59 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:30:00 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:30:01 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:30:05 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:30:09 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:30:12 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:30:14 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:30:17 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
2016-08-08 11:30:20 -- D:\VB6\VB-NT\00_Best_VB_01\Fast Clipboard\PROJECT_TIMER.TXT
