Name;Command line options;Schedule options;Run as...;Last Status
TREESIZE BIGGEST ALL DRIVE AND NETWORK.job; /SEARCH:Start /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (23).xml" /DATE /TITLE "TREESIZE BIGGEST ALL DRIVE AND NETWORK" /TEXT "C:\TREESIZE\TREESIZE BIGGEST ALL DRIVE AND NETWORK.txt" "\\1-ASUS-EEE\" "\\2-ASUS-X5DIJ\" "\\3-LINDA-PC\" "\\5-ASUS-P2520LA\" "This PC";At 17:00 on 21/08/2016;n/a;The task has not yet run
TREESIZE BIGGEST ALL DRIVE.job; /SEARCH:Start /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (22).xml" /DATE /TITLE "TREESIZE BIGGEST ALL DRIVE" /TEXT "C:\TREESIZE\TREESIZE BIGGEST ALL DRIVE.txt" "This PC";At 17:00 on 21/08/2016;n/a;The task has not yet run
Treesize LOCK_._GSL -- ALL DRIVE & DELETE.job; /SEARCH:Start /MOVETO "Recycle Bin" /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (8).xml" /TITLE "TREESIZE LOCK_._GSL -- ALL DRIVE & DELETE" "This PC";At 18:00 on 21/08/2016;n/a;The task has not yet run
Treesize LOCK_._GSL -- ALL DRIVE & NETWORK & DELETE.job; /SEARCH:Start /MOVETO "Recycle Bin" /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (12).xml" /TITLE "TREESIZE LOCK_._GSL -- ALL DRIVE & NETWORK & DELETE" "\\1-ASUS-EEE\" "\\2-ASUS-X5DIJ\" "\\3-LINDA-PC\" "\\5-ASUS-P2520LA\" "This PC";At 15:00 on 22/08/2016;n/a;The task has not yet run
TREESIZE RECYCLE BIN ALL DRIVE & NETWORK.job; /SEARCH:Start /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (27).xml" /DATE /EXCLUDE "*.*" /TITLE "TREESIZE RECYCLE BIN ALL DRIVE & NETWORK" /TEXT "C:\TREESIZE\TREESIZE RECYCLE BIN ALL DRIVE & NETWORK.TXT" "\\1-ASUS-EEE\" "\\2-ASUS-X5DIJ\" "\\3-LINDA-PC\" "\\4-ASUS-GL522VW\" "\\5-ASUS-P2520LA\" "This PC";At 17:00 on 21/08/2016;n/a;The task has not yet run
TREESIZE RECYCLE BIN ALL DRIVE.job; /SEARCH:Start /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (28).xml" /DATE /TEXT "C:\TREESIZE\TREESIZE RECYCLE BIN ALL DRIVE.txt" "This PC";At 17:00 on 21/08/2016;n/a;The task has not yet run
TREESIZE TEMP ALL DRIVE & NETOWRK.job; /SEARCH:Start /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (26).xml" /EXCLUDE "*.*" /TITLE "TREESIZE TEMP ALL DRIVE & NETOWRK" /TEXT "C:\TREESIZE\TREESIZE TEMP ALL DRIVE & NETOWRK.TXT" "\\1-ASUS-EEE\" "\\2-ASUS-X5DIJ\" "\\3-LINDA-PC\" "\\5-ASUS-P2520LA\" "This PC";At 17:00 on 21/08/2016;n/a;The task has not yet run
TREESIZE TEMP ALL DRIVE.job; /SEARCH:Start /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (25).xml" /DATE /TITLE "TREESIZE TEMP ALL DRIVE.TXT" /TEXT "C:\TREESIZE\TREESIZE TEMP ALL DRIVE.TXT" "This PC";At 17:00 on 21/08/2016;n/a;The task has not yet run
Treesize _GSDATA_ ALL DRIVE & NETWORK (1).job; /SEARCH:Start /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (14).xml" /EXCLUDE "*..*" /TITLE "TREESIZE _GSDATA_ ALL DRIVE & NETWORK" /TEXT "C:\TREESIZE\TREESIZE _GSDATA_ ALL DRIVE & NETWORK.txt" "\\1-ASUS-EEE\" "\\2-ASUS-X5DIJ\" "\\3-LINDA-PC\" "\\5-ASUS-P2520LA\" "This PC";At 19:00 on 21/08/2016;n/a;The task has not yet run
Treesize _GSDATA_ ALL DRIVE.job; /SEARCH:Start /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (15).xml" /EXCLUDE "*.*" /TITLE "TREESIZE _GSDATA_ ALL DRIVE" /TEXT "C:\TREESIZE\TREESIZE _GSDATA_ MY COMPUTER.TXT" "This PC";At 19:00 on 21/08/2016;n/a;The task has not yet run
Treesize _SAVED_ ALL DRIVE (2).job; /SEARCH:Start /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (18).xml" /EXCLUDE "*.*" /TITLE "TREESIZE _SAVED_ ALL DRIVE" /TEXT "C:\TREESIZE\TREESIZE _SAVED_ ALL DRIVE.TXT" "This PC";At 16:00 on 21/08/2016;n/a;The task has not yet run
Treesize _SAVED_ ALL DRIVE AND NETWORK.job; /SEARCH:Start /OPTIONS "C:\Users\MATT 01\AppData\Roaming\JAM Software\Treesize\File Search\ScheduledFileSearchOptions (2).xml" /EXCLUDE "*.*" /TITLE "TREESIZE _SAVED_ ALL DRIVE AND NETWORK" /TEXT "C:\TEMP\TREESIZE _SAVED_ ALL DRIVE AND NETWORK.txt" "\\1-ASUS-EEE\" "\\2-ASUS-X5DIJ\" "\\3-LINDA-PC\" "\\5-ASUS-P2520LA\" "This PC";At 22:00 on 21/08/2016;4-ASUS-GL522VW\MATT 01;The operation completed successfully
