
Treesize _GSDATA_ ALL DRIVE & NETWORK

Name	Containing Path	Size	Allocated	Last Modified	Last Accessed	Type	Owner
_cleanup.gss	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.0 KB	0.0 KB	16/07/2016	12/04/2016	.gss (GSS File)	Guest
_file_state_v4._gs	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	6,687.2 KB	6,688.0 KB	17/07/2016	29/10/2015	._gs (_GS File)	Administrators
_insync_v4.gsl	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.1 KB	4.0 KB	17/07/2016	17/07/2016	.gsl (GSL File)	MATT 01
_recycled_db._gs	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.5 KB	4.0 KB	17/07/2016	29/10/2015	._gs (_GS File)	Administrators
2015-1019-020838-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C DRIVE.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	4.6 KB	8.0 KB	19/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1019-033625-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	3,260.4 KB	3,264.0 KB	20/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1020-201652-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	102.3 KB	104.0 KB	20/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1021-015108-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	140.7 KB	144.0 KB	21/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1021-015720-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	745.1 KB	748.0 KB	21/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1021-041518-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	665.5 KB	668.0 KB	21/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1021-062448-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.4 KB	4.0 KB	21/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1021-144722-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	90.0 KB	92.0 KB	21/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1021-165423-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.3 KB	4.0 KB	21/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1021-190757-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	14.1 KB	16.0 KB	21/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
